HN_1	DCIS_1	HN_2	DCIS_2	HN_3	DCIS_3	HN_4	DCIS_4	HN_5	DCIS_5	HN_6	DCIS_6
6.76598376536597	6.45833896235432	6.9217204319536	6.77449273786321	7.01056413685588	6.98677932888329	6.95876101804887	6.88819908678198	6.94991205518153	6.94858896828537	7.22042707595284	7.07015894544086
6.33947419514941	6.75534224082697	7.17736920123286	6.84259661377314	7.39261086181081	6.87947395461589	6.29657085324708	6.13003372917385	7.83122166884993	7.9423438915663	7.66524771376566	7.79925505073766
6.59175502863998	6.79030428090433	6.73535929388352	6.77325516902381	6.7000155602841	7.04188090107744	6.58628489196164	6.50101069213511	6.88493079258514	7.65249005676775	7.34250510449454	7.50079119370645
6.82209174980839	6.59053877610036	6.50845164761916	6.41185853276729	6.57564019111106	6.47091290813382	6.89688557322208	6.84887153421704	6.61514347646099	6.40708703355295	6.61817406122687	6.65161854362501
7.35605110163376	7.31114385945287	7.3855126404074	7.33348118070917	7.39223285773688	7.42862323352024	7.31457929185033	7.36265752286998	7.37004366447065	7.3972494799858	7.3831956161515	7.43764300727089
6.94193530841294	6.85437293705211	6.88397257130438	6.83369532009087	6.85504330000182	6.85686443307118	7.02107198215727	7.05131032925118	6.76724202081043	6.77527641442359	6.87385451648887	6.80524702364719
7.902341077051	7.77607426213967	7.56875110745399	8.04653854389745	7.12419819170204	7.0180757113115	8.15661044089212	8.39127450614394	6.74553507841298	6.84229936301615	6.82404422061718	6.88756426448977
7.46154569301181	8.11182774570887	8.60673569541685	8.80179570481096	8.53588746475447	8.53052881783658	7.26535075865324	7.03902530244459	8.7163593016669	8.79894982916584	8.65149091787097	8.58204741362192
8.54386991950627	8.70056114098989	8.2631231505887	8.31847481898154	8.86567125460136	8.96453360659684	8.69017548320143	8.66446788599138	8.73439291668783	8.94700169719338	8.55319710362125	8.71255631184282
6.68893982073829	6.66964338299304	6.65417441513673	6.65931578861604	6.68541464095139	6.66575431611678	6.70908351608842	6.71496634422926	6.67930372142497	6.65613014387589	6.68863587494742	6.68835504942527
7.17292051245523	7.16523085740733	7.2730515286033	7.44521361574812	7.26016592640365	7.06133449650419	7.60327602010073	7.40129093141229	7.1348083284852	7.05485356951437	7.29007582915043	7.11718471942569
7.80737602881725	7.45637608057569	7.15693855385245	6.79726681959596	8.11676538292223	8.06274538887818	6.96911758278159	7.16452818450463	7.83535651022017	7.58501413485647	7.06668509501744	6.94389472692944
6.51069903832279	6.32530226681905	6.36367384570523	6.35354641468795	6.46072579190987	6.51645291045695	6.53591031441103	6.53874035324076	6.51411364501337	6.54007592497383	6.54905407345576	6.58786621594744
6.85148069791494	6.84653682737295	6.85551929520544	6.85323855287747	6.8497219466604	6.85288536411587	6.85392495776727	6.85750467274487	6.8500585593404	6.85208039932076	6.85228021868682	6.85182962635792
7.72574422665057	7.53655287358725	7.23784938121576	7.28698309527448	7.28502408755179	7.28529702382486	7.79387079056099	7.91582010926061	7.09168203666834	7.01396683685259	7.21362432450251	7.08859323768764
8.66641589302769	9.70563127306161	9.94216120421217	9.97495756863587	9.6761329199679	9.33316649335485	8.32146946421007	8.04467051609803	9.93655189768057	10.1928588448917	9.90556646104814	10.3111603929774
6.53678965303007	6.53658550827655	6.5366402564041	6.53665296723951	6.53670276118127	6.53667089378446	6.53679498006509	6.53671421096133	6.53664470055234	6.53664015332861	6.53679116570369	6.53665712477739
