"gene_set","p.geomean","stat.mean","p.val","q.val","set.size","DCIS_1","DCIS_2","DCIS_3","DCIS_4","DCIS_5","DCIS_6"
"hsa03010 Ribosome",0.000798471827838114,-2.83268087492117,2.84939917984843e-11,4.55903868775749e-09,38,1.30539904024352e-05,0.905947348663852,0.00577716213374921,8.68055053675154e-05,0.00468062534072113,9.33567304677002e-06
"hsa04510 Focal adhesion",0.00562797154461002,-2.08665307903961,2.0714032106919e-07,1.65712256855352e-05,190,0.802417031121865,0.000841004383340927,1.77276458282206e-05,0.173137015953677,0.0593928583835664,0.000258307929787615
"hsa04270 Vascular smooth muscle contraction",0.0276403091202548,-1.81774777543491,5.04432746756613e-06,0.000269030798270194,102,0.427125652327682,0.00365408557448729,0.0441079726915875,0.0228428239081309,0.0202441921624641,0.0140073398440943
"hsa04020 Calcium signaling pathway",0.0693830828536896,-1.46333576009407,0.000175508115467592,0.00702032461870368,159,0.0344638106677001,0.0340037497783565,0.111966582025809,0.152759145094091,0.0535728885874892,0.103894066398955
"hsa04540 Gap junction",0.0899907123102521,-1.26706646632882,0.00101509975327353,0.032483192104753,84,0.293296848086743,0.0130329409104629,0.121375834678442,0.0903070820768836,0.0462078360615798,0.274325793639417
"hsa04360 Axon guidance",0.102206486659669,-1.20884339106848,0.00159088001090951,0.0424234669575869,110,0.261837045749172,0.0414326309454955,0.0864685839745494,0.236980915262506,0.0242358803845337,0.211576113189037
"hsa00982 Drug metabolism - cytochrome P450",0.115123398964755,-1.12239429728129,0.00322058081016376,0.0736132756608859,49,0.281297248261299,0.0859733284418197,0.202843910830757,0.0324103553260689,0.0369672186873306,0.396086328251336
"hsa04640 Hematopoietic cell lineage",0.070173870150504,-1.07968164813715,0.00445022601529576,0.0797536549882429,78,0.00213321597085528,0.0232587486773932,0.911815452296039,0.0303464189324029,0.398384823388103,0.218330404212572
"hsa04512 ECM-receptor interaction",0.0284234457821516,-1.08781264935213,0.00475781334142898,0.0797536549882429,77,0.98792753811999,0.10143543717092,0.000322072775782238,0.49872057403546,0.453457445928881,7.2243324508355e-05
"hsa04310 Wnt signaling pathway",0.115362250841645,-1.04584044171246,0.00535636923032677,0.0797536549882429,133,0.64217080047557,0.0225686976099171,0.0654516985215668,0.123897592211357,0.0551521975009587,0.363645874593223
"hsa00410 beta-Alanine metabolism",0.123476906532304,-1.06526637398214,0.0054830637804417,0.0797536549882429,20,0.516978289019739,0.0655223673986678,0.0274726726875632,0.0914839120792633,0.399534298656141,0.104196432599933
"hsa04916 Melanogenesis",0.133412832838131,-1.02383933848923,0.00626623152206962,0.0835497536275949,89,0.489470041295611,0.0299023739584277,0.0855272831279266,0.256928691016985,0.0822278865409194,0.213214846984506
"hsa04630 Jak-STAT signaling pathway",0.13282906705543,-0.994266039362604,0.00760912471455023,0.0904191319545768,130,0.0347524415182211,0.0326716132704744,0.525344780784151,0.122431144353552,0.231278081336376,0.325186139618673
"hsa04340 Hedgehog signaling pathway",0.154877814389928,-0.991762272574633,0.00791167404602547,0.0904191319545768,45,0.0969564074043219,0.102605696858941,0.236450076322387,0.310751993863008,0.0833125841675048,0.22663307468484
"hsa04670 Leukocyte transendothelial migration",0.125279676343868,-0.952520042218401,0.0101109422112119,0.107850050252927,104,0.0473997945130938,0.0221691778175439,0.754174439156168,0.087487777114626,0.398337556531892,0.139986851079947
"hsa04810 Regulation of actin cytoskeleton",0.157128056873606,-0.937386494581423,0.0109589107007289,0.109419605477642,187,0.252388144839851,0.0638093932900313,0.453067010659156,0.174994678349672,0.051035889195703,0.230943585263442
"hsa00590 Arachidonic acid metabolism",0.140929275788543,-0.935963865087686,0.0116258330819995,0.109419605477642,46,0.0248621289580566,0.0909373612471333,0.628263602012714,0.0652133696281021,0.368846627554195,0.229299073642565
"hsa04740 Olfactory transduction",0.129636240342566,-0.916168290650586,0.0132063707396398,0.117389962130131,64,0.0126138790781751,0.0392874005802715,0.535968817270229,0.663226242843385,0.181619996918933,0.148351422896023
